09:56:44.788 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SceneContainer.tsx","specifier":"@/components/room/AnimatedWrapper","names":["PhaseGroup"],"hasNamespace":false,"hasDefault":false}
09:56:44.788 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SceneContainer.tsx","specifier":"@/components/room/layout","names":["CAMERA","ORBIT"],"hasNamespace":false,"hasDefault":false}
09:56:44.788 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SceneContainer.tsx","specifier":"@/components/room/Performance","names":["CANVAS_PERF"],"hasNamespace":false,"hasDefault":false}
09:56:44.790 [DEBUG] [importResolver  ] import 추출 완료  {"file":"SceneContainer.tsx","total":9}
09:56:44.794 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.849 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"@react-three/fiber"}
09:56:44.885 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"@react-three/drei"}
09:56:44.960 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"three"}
09:56:44.961 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/snowBackground/SnowBackground","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\snowBackground\\SnowBackground.tsx"}
09:56:44.961 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/room/Room","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\room\\Room.tsx"}
09:56:44.962 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/room/AnimatedWrapper","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\room\\AnimatedWrapper.tsx"}
09:56:44.963 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/room/layout","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\room\\layout.ts"}
09:56:44.963 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/room/Performance","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\room\\Performance.ts"}
09:56:44.984 [DEBUG] [importResolver  ] import 추출 완료  {"file":"routes.d.ts","total":0}
09:56:45.003 [DEBUG] [importResolver  ] import 추출 완료  {"file":"portfolioData.ts","total":0}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"react","names":["useMemo","useRef","useEffect"],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"@react-three/fiber","names":["useFrame"],"hasNamespace":false,"hasDefault":false}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"@react-three/drei","names":["Stars","MeshTransmissionMaterial"],"hasNamespace":false,"hasDefault":false}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"three","names":[],"hasNamespace":true,"hasDefault":false}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"./Snow","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"./Bonfire","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"./Woodpile","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"./Snowman","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"./FrozenPond","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"./Pedestal","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"./House","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"./LampPost","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"./ChristmasTree","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"../room/AnimatedWrapper","names":["PhaseGroup"],"hasNamespace":false,"hasDefault":false}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"../canvas/DayNightContext","names":["useDayNight","PRESETS"],"hasNamespace":false,"hasDefault":false}
09:56:45.030 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"SnowBackground.tsx","specifier":"../canvas/WeatherContext","names":["useWeather"],"hasNamespace":false,"hasDefault":false}
09:56:45.039 [DEBUG] [importResolver  ] import 추출 완료  {"file":"SnowBackground.tsx","total":16}
09:56:45.055 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:45.056 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"@react-three/fiber"}
09:56:45.058 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"@react-three/drei"}
09:56:45.059 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"three"}
09:56:45.070 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./Snow","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Snow.tsx"}
09:56:45.071 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./Bonfire","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Bonfire.tsx"}
09:56:45.071 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./Woodpile","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Woodpile.tsx"}
09:56:45.072 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./Snowman","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Snowman.tsx"}
09:56:45.072 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./FrozenPond","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\FrozenPond.tsx"}
09:56:45.075 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./Pedestal","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\Pedestal.tsx"}
09:56:45.076 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./House","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\House.tsx"}
09:56:45.077 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./LampPost","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\LampPost.tsx"}
09:56:45.077 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./ChristmasTree","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\snowBackground\\ChristmasTree.tsx"}
09:56:45.077 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"../room/AnimatedWrapper","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\room\\AnimatedWrapper.tsx"}
09:56:45.077 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"../canvas/DayNightContext","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:45.077 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"../canvas/WeatherContext","from":"src\\components\\snowBackground\\SnowBackground.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:45.083 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./structure/Floor","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.085 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./structure/Walls","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.085 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./structure/Moulding","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.085 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./furniture/Desk","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.085 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./furniture/Bed","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.086 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./furniture/Storage","names":["DrawerChest"],"hasNamespace":false,"hasDefault":true}
09:56:45.086 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./furniture/SunbathingCat","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.086 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./furniture/CatBowls","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.086 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./furniture/Nightstand","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.086 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"Room.tsx","specifier":"./furniture/Trashcan","names":[],"hasNamespace":false,"hasDefault":true}
09:56:45.086 [DEBUG] [importResolver  ] import 추출 완료  {"file":"Room.tsx","total":10}
09:56:45.087 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./structure/Floor","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\structure\\Floor.tsx"}
09:56:45.087 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./structure/Walls","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\structure\\Walls.tsx"}
09:56:45.087 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./structure/Moulding","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\structure\\Moulding.tsx"}
09:56:45.088 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./furniture/Desk","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\furniture\\Desk.tsx"}
09:56:45.088 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./furniture/Bed","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\furniture\\Bed.tsx"}
09:56:45.089 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./furniture/Storage","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\furniture\\Storage.tsx"}
09:56:45.099 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./furniture/SunbathingCat","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\furniture\\SunbathingCat.tsx"}
09:56:45.099 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./furniture/CatBowls","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\furniture\\CatBowls.tsx"}
09:56:45.100 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./furniture/Nightstand","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\furniture\\Nightstand.tsx"}
09:56:45.100 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"./furniture/Trashcan","from":"src\\components\\room\\Room.tsx","resolved":"src\\components\\room\\furniture\\Trashcan.tsx"}
09:56:45.127 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"AnimatedWrapper.tsx","specifier":"react","names":["useRef","useState","useEffect","useMemo"],"hasNamespace":false,"hasDefault":false}
09:56:45.127 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"AnimatedWrapper.tsx","specifier":"@react-three/fiber","names":["useFrame"],"hasNamespace":false,"hasDefault":false}
09:56:45.127 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"AnimatedWrapper.tsx","specifier":"three","names":[],"hasNamespace":true,"hasDefault":false}
09:56:45.130 [DEBUG] [importResolver  ] import 추출 완료  {"file":"AnimatedWrapper.tsx","total":3}
09:56:45.135 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
