09:56:44.369 [DEBUG] [unusedFiles     ] BFS 방문  {"step":3,"file":"src\\app\\page.tsx","queueRemaining":12}
09:56:44.394 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"next/dynamic","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.394 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"react","names":["useState"],"hasNamespace":false,"hasDefault":false}
09:56:44.394 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/DayNightContext","names":["DayNightProvider"],"hasNamespace":false,"hasDefault":false}
09:56:44.395 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/WeatherContext","names":["WeatherProvider"],"hasNamespace":false,"hasDefault":false}
09:56:44.395 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/DayNightButton","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.395 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/canvas/WeatherButton","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.395 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/ui/PortfolioModal","names":["ModalType"],"hasNamespace":false,"hasDefault":true}
09:56:44.395 [DEBUG] [importResolver  ] ESM static import 발견  {"file":"page.tsx","specifier":"@/components/ui/NavigationGuide","names":[],"hasNamespace":false,"hasDefault":true}
09:56:44.395 [DEBUG] [importResolver  ] dynamic import() 발견  {"file":"page.tsx","specifier":"@/components/canvas/SceneContainer"}
09:56:44.396 [DEBUG] [importResolver  ] import 추출 완료  {"file":"page.tsx","total":9}
09:56:44.396 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\app\\page.tsx","importCount":9}
09:56:44.400 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"next/dynamic"}
09:56:44.400 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"next/dynamic","from":"src\\app\\page.tsx"}
09:56:44.401 [DEBUG] [importResolver  ] node_modules resolve - 스킵  {"importPath":"react"}
09:56:44.401 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\app\\page.tsx"}
09:56:44.401 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/DayNightContext","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.401 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/DayNightContext","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["DayNightProvider"]}
09:56:44.401 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\DayNightContext.tsx"}
09:56:44.401 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/WeatherContext","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.401 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/WeatherContext","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["WeatherProvider"]}
09:56:44.401 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\WeatherContext.tsx"}
09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/DayNightButton","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\DayNightButton.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/DayNightButton","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\DayNightButton.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\DayNightButton.tsx"}
09:56:44.402 [DEBUG] [importResolver  ] ts.resolveModuleName 성공  {"importPath":"@/components/canvas/WeatherButton","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\WeatherButton.tsx"}
09:56:44.402 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/canvas/WeatherButton","from":"src\\app\\page.tsx","resolved":"src\\components\\canvas\\WeatherButton.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.402 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\canvas\\WeatherButton.tsx"}
