09:56:44.036 [INFO ] [unusedFiles     ] 분석 시작  {"projectRoot":"D:\\myRoom"}
09:56:44.661 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\canvas\\WeatherButton.tsx","importCount":3}
09:56:44.664 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./WeatherContext","from":"src\\components\\canvas\\WeatherButton.tsx","resolved":"src\\components\\canvas\\WeatherContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["useWeather"]}
09:56:44.664 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"./DayNightContext","from":"src\\components\\canvas\\WeatherButton.tsx","resolved":"src\\components\\canvas\\DayNightContext.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["useDayNight"]}
09:56:44.665 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\components\\canvas\\WeatherButton.tsx"}
09:56:44.665 [DEBUG] [unusedFiles     ] BFS 방문  {"step":13,"file":"src\\components\\ui\\PortfolioModal.tsx","queueRemaining":10}
09:56:44.716 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\ui\\PortfolioModal.tsx","importCount":2}
09:56:44.731 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\components\\ui\\PortfolioModal.tsx"}
09:56:44.732 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/room/portfolioData","from":"src\\components\\ui\\PortfolioModal.tsx","resolved":"src\\components\\room\\portfolioData.ts","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["ABOUT_DATA","SKILLS_DATA","PROJECTS_DATA","CONTACT_DATA"]}
09:56:44.732 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\room\\portfolioData.ts"}
09:56:44.732 [DEBUG] [unusedFiles     ] BFS 방문  {"step":14,"file":"src\\components\\ui\\NavigationGuide.tsx","queueRemaining":10}
09:56:44.757 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\ui\\NavigationGuide.tsx","importCount":1}
09:56:44.765 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\components\\ui\\NavigationGuide.tsx"}
09:56:44.765 [DEBUG] [unusedFiles     ] BFS 방문  {"step":15,"file":"src\\components\\canvas\\SceneContainer.tsx","queueRemaining":9}
09:56:44.790 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\canvas\\SceneContainer.tsx","importCount":9}
09:56:44.794 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.849 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"@react-three/fiber","from":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.885 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"@react-three/drei","from":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.960 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"three","from":"src\\components\\canvas\\SceneContainer.tsx"}
09:56:44.961 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/snowBackground/SnowBackground","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\snowBackground\\SnowBackground.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.961 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\snowBackground\\SnowBackground.tsx"}
09:56:44.961 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/room/Room","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\room\\Room.tsx","hasNamespace":false,"hasDefault":true,"isSideEffect":false,"names":[]}
09:56:44.961 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\room\\Room.tsx"}
09:56:44.962 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/room/AnimatedWrapper","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\room\\AnimatedWrapper.tsx","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["PhaseGroup"]}
09:56:44.962 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\room\\AnimatedWrapper.tsx"}
09:56:44.963 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/room/layout","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\room\\layout.ts","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["CAMERA","ORBIT"]}
09:56:44.963 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\room\\layout.ts"}
09:56:44.963 [DEBUG] [unusedFiles     ] import resolve 성공  {"specifier":"@/components/room/Performance","from":"src\\components\\canvas\\SceneContainer.tsx","resolved":"src\\components\\room\\Performance.ts","hasNamespace":false,"hasDefault":false,"isSideEffect":false,"names":["CANVAS_PERF"]}
09:56:44.963 [DEBUG] [unusedFiles     ] 큐에 추가  {"file":"src\\components\\room\\Performance.ts"}
09:56:44.963 [DEBUG] [unusedFiles     ] BFS 방문  {"step":16,"file":".next\\dev\\types\\routes.d.ts","queueRemaining":6}
09:56:44.984 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":".next\\dev\\types\\routes.d.ts","importCount":0}
09:56:44.985 [DEBUG] [unusedFiles     ] BFS 방문  {"step":17,"file":"src\\components\\room\\portfolioData.ts","queueRemaining":5}
09:56:45.003 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\room\\portfolioData.ts","importCount":0}
09:56:45.005 [DEBUG] [unusedFiles     ] BFS 방문  {"step":18,"file":"src\\components\\snowBackground\\SnowBackground.tsx","queueRemaining":4}
09:56:45.039 [DEBUG] [unusedFiles     ] import 추출 완료  {"file":"src\\components\\snowBackground\\SnowBackground.tsx","importCount":16}
09:56:45.055 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"react","from":"src\\components\\snowBackground\\SnowBackground.tsx"}
09:56:45.057 [DEBUG] [unusedFiles     ] 외부 패키지 import (resolve 스킵)  {"specifier":"@react-three/fiber","from":"src\\components\\snowBackground\\SnowBackground.tsx"}
